geoid,LATITUDE,LONGITUDE,Y,X
360050001000,40.79811299999984,-73.891533,4516937.136889278,593508.5084889244
360050001001,40.793355999999854,-73.881698,4516419.604336517,594344.9239542866
360050002000,40.80348499999986,-73.860437,4517567.106369558,596124.0168787608
360050002001,40.81397999999985,-73.86105,4518731.474248856,596057.1709586451
360050002002,40.812585999999854,-73.86123,4518576.530281312,596044.0002488166
360050002003,40.80845999999984,-73.856484,4518123.718087895,596450.2614777904
360050004000,40.81069199999984,-73.845758,4518383.347764843,597351.7051622487
360050004001,40.81430799999984,-73.857288,4518772.015009161,596373.9833558957
360050004002,40.81186699999986,-73.853789,4518504.894933603,596672.6311530502
360050004003,40.807057999999834,-73.853096,4517971.816749711,596738.06541857
360050004004,40.81346499999981,-73.847815,4518688.893643619,597174.1627169391
360050016001,40.82069299999984,-73.859896,4519477.944387181,596144.8053813534
360050016002,40.81630499999983,-73.859702,4518991.048761204,596167.5034310184
360050016003,40.82260299999985,-73.856791,4519693.383267434,596403.8887987279
360050016004,40.81847099999982,-73.858826,4519232.456274592,596238.2519334363
360050019000,40.798578999999826,-73.902076,4516977.6761165755,592618.4538291373
360050019001,40.80650499999984,-73.925509,4517833.040287914,590630.8793245775
360050019002,40.803739999999834,-73.91910399999999,4517532.743002425,591174.9204574188
360050019003,40.802778999999845,-73.912199,4517433.267910112,591758.6997892684
360050019004,40.79998399999986,-73.909339,4517125.996147138,592003.8119478782
360050019005,40.79998899999985,-73.898436,4517138.049883054,592923.5552796844
360050020001,40.81788899999986,-73.864392,4519161.751747506,595769.6843317241
360050020002,40.815753999999835,-73.86416999999999,4518924.989786485,595791.4781709411
360050020003,40.81771499999984,-73.868089,4519138.402833088,595458.1472160767
360050020004,40.815541999999844,-73.866953,4518898.417893108,595557.0705013345
360050020005,40.81961999999985,-73.867872,4519350.111701966,595473.7162157153
360050020006,40.81978699999984,-73.86613,4519370.549453519,595620.3841485574
360050023001,40.809480999999835,-73.926783,4518162.085699601,590519.3739155005
360050023002,40.80921999999985,-73.924264,4518135.716731214,590732.1955982872
360050023003,40.808411999999834,-73.924872,4518045.392566637,590682.013463925
