GEOID,LONGITUDE,LATITUDE,node
360050001000,593508.508488924,4516937.136889297,6814411081
360050001001,594344.9239542864,4516419.604336534,5212861672
360050002000,596124.0168787604,4517567.106369572,4781795229
360050002001,596057.1709586447,4518731.474248874,7256919132
360050002002,596044.0002488163,4518576.530281328,42467807
360050002003,596450.2614777901,4518123.718087912,596776624
360050004000,597351.7051622485,4518383.347764862,432760494
360050004001,596373.9833558955,4518772.015009178,6838199659
360050004002,596672.63115305,4518504.894933619,42881777
360050004003,596738.0654185697,4517971.816749728,3517240744
360050004004,597174.1627169389,4518688.89364364,42484928
360050016001,596144.8053813531,4519477.944387198,3881994583
360050016002,596167.5034310182,4518991.048761223,42762616
360050016003,596403.8887987278,4519693.383267452,4300994853
360050016004,596238.251933436,4519232.456274613,597748753
360050019000,592618.453829137,4516977.676116594,6791707024
360050019001,590630.8793245773,4517833.040287931,6810570789
360050019002,591174.9204574175,4517532.743002444,5378294671
360050019003,591758.6997892682,4517433.267910128,42881064
360050019004,592003.8119478781,4517125.996147154,1398618107
360050019005,592923.5552796843,4517138.0498830695,6216541791
360050020001,595769.6843317238,4519161.7517475225,7237430067
360050020002,595791.4781709397,4518924.989786503,5488167366
360050020003,595458.1472160765,4519138.402833106,6814583504
360050020004,595557.0705013343,4518898.417893127,5777710282
360050020005,595473.716215715,4519350.111701983,5209084623
360050020006,595620.3841485573,4519370.549453537,5488243220
360050023001,590519.3739155002,4518162.085699619,42485169
360050023002,590732.1955982869,4518135.716731232,2494258437
360050023003,590682.0134639248,4518045.392566657,1251382481
360050024000,595418.3853821163,4518396.003029222,6791729782
360050024001,595201.0110985019,4518958.108481431,5487773332
360050025001,591198.4071555621,4517885.760748376,5487966199
360050025002,591156.8002481903,4517770.780358426,6804555289
360050025003,590948.9641114996,4518021.803277707,6796161067
360050025004,590909.7006914255,4517949.264890372,3769846162
360050025005,590972.4393517381,4517862.215382035,5730504016
360050027011,591419.3616538811,4517632.353116507,1725664268
360050027012,591347.7603691831,4517732.834644892,4302966285
360050027021,591699.6708031092,4517866.424332098,42428376
360050027022,591624.1833992135,4517688.069431171,6793961628
360050027023,591472.9155082976,4517892.926468382,6309045798
360050027024,591516.9508026891,4517995.281944241,42428742
360050028000,594256.2226930028,4519372.677789017,42828166
360050028001,594553.2465970218,4519652.929889417,6893523425
360050028002,594908.9473977423,4519493.279846823,5673291184
360050028003,594519.9548879178,4519433.447086578,42904986
360050028004,594694.5687801121,4519392.492686133,42495056
360050031001,592307.4966482546,4518407.24566479,6278160272
360050033001,591868.1947806857,4518004.7449572515,541999391
360050033002,591665.362750013,4518075.171520676,5491079519
360050033003,591529.375575779,4518150.0946053965,7042959333
360050035001,592024.7766206902,4518275.1529360525,4598752861
360050035002,591934.6980617578,4518545.268740038,6902892719
360050035003,592104.1510549171,4518485.536481448,42466073
360050037001,591747.7786198496,4518394.949026002,1955847086
360050038001,595877.9533174686,4519431.065727694,6814377851
360050039001,591273.0714010419,4518001.593533061,6796215047
360050039002,590791.2239674137,4518247.466799873,5780036024
360050039003,590641.3649437621,4518360.872387245,6800778691
360050039004,591092.1491983214,4518225.077339613,42473560
360050039005,591033.8563158283,4518101.898173432,4858690925
360050040011,596269.7293565993,4520318.943695707,42480962
360050041001,591399.1488019836,4518284.712142282,6791683183
360050041002,591167.613891074,4518378.445703298,5488298652
360050041003,590758.0277778489,4518491.537294553,3383763750
360050041004,590919.9112251459,4518484.089285979,5488486645
360050042001,595573.9887294776,4519840.485221852,778261407
360050042002,595714.4196767807,4519651.445861,42906116
360050042003,595954.82287006,4519902.933103879,3853824953
360050042004,595978.9437421227,4519695.179824706,4149055503
360050042005,596077.2837140433,4519825.250258893,42468323
360050042006,596350.97345283,4519935.178766862,5683628072
360050042007,595728.306958214,4519868.574282092,42885071
360050043001,591537.0497266203,4518695.326351739,2895774246
360050043002,591341.351254277,4518661.263294224,3051868643
360050043003,591368.2012737716,4518454.421033632,5436391858
360050043004,591375.3108631617,4518541.220020122,42889608
360050044001,595574.3040268547,4520116.060504925,5482677625
360050044002,595382.5565420517,4520119.689320073,3829392901
360050044003,595880.3051351864,4520172.874239794,5488330266
360050044004,595287.7719942632,4520053.4040980935,2377652137
360050046001,595311.1100038338,4519675.988712511,5174790055
360050048001,594883.189692748,4520284.020432903,6424520475
360050048002,594828.8163703572,4520144.2048076885,6807015475
360050050011,594519.5958790904,4519916.522507345,42843431
360050050012,594624.0186379752,4519935.5123023605,42858346
360050050013,594701.8380606864,4519950.72074004,5127233089
360050050014,594779.7486315044,4519965.376038286,6852698185
360050050021,594528.0680859805,4520190.424511138,42765224
360050050022,594417.3003920828,4520173.24234831,42525403
360050050023,594652.3885422108,4520209.55839297,42779187
