GEOID,LONGITUDE,LATITUDE
360050001000,593508.5084889241,4516937.136889296
360050001001,594344.9239542864,4516419.604336534
360050002000,596124.0168787605,4517567.106369572
360050002001,596057.1709586448,4518731.474248874
360050002002,596044.0002488163,4518576.530281328
360050002003,596450.2614777901,4518123.718087912
360050004000,597351.7051622485,4518383.347764862
360050004001,596373.9833558955,4518772.015009178
360050004002,596672.63115305,4518504.894933619
360050004003,596738.0654185697,4517971.816749728
360050004004,597174.1627169389,4518688.89364364
360050016001,596144.8053813531,4519477.944387198
360050016002,596167.5034310182,4518991.048761223
360050016003,596403.8887987277,4519693.383267452
360050016004,596238.251933436,4519232.456274613
360050019000,592618.453829137,4516977.676116594
360050019001,590630.8793245773,4517833.040287931
360050019002,591174.9204574175,4517532.743002443
360050019003,591758.6997892682,4517433.2679101275
360050019004,592003.8119478781,4517125.996147154
360050019005,592923.5552796843,4517138.0498830695
360050020001,595769.6843317238,4519161.7517475225
360050020002,595791.4781709397,4518924.989786503
360050020003,595458.1472160765,4519138.402833106
360050020004,595557.0705013343,4518898.417893126
360050020005,595473.716215715,4519350.111701983
360050020006,595620.3841485573,4519370.549453537
360050023001,590519.3739155002,4518162.085699619
360050023002,590732.1955982869,4518135.716731232
360050023003,590682.0134639248,4518045.392566656
360050024000,595418.3853821163,4518396.003029222
360050024001,595201.0110985019,4518958.108481431
360050025001,591198.4071555621,4517885.760748376
360050025002,591156.8002481903,4517770.780358426
360050025003,590948.9641114996,4518021.803277707
360050025004,590909.7006914255,4517949.264890372
360050025005,590972.4393517381,4517862.215382035
360050027011,591419.3616538811,4517632.353116506
360050027012,591347.7603691831,4517732.834644892
360050027021,591699.6708031092,4517866.424332098
360050027022,591624.1833992135,4517688.069431171
360050027023,591472.9155082976,4517892.926468382
360050027024,591516.9508026891,4517995.281944241
360050028000,594256.2226930028,4519372.677789017
360050028001,594553.2465970218,4519652.929889417
360050028002,594908.9473977423,4519493.279846823
360050028003,594519.9548879178,4519433.447086578
360050028004,594694.5687801121,4519392.492686133
360050031001,592307.4966482546,4518407.24566479
360050033001,591868.1947806857,4518004.7449572515
360050033002,591665.362750013,4518075.171520677
