id,LONGITUDE,LATITUDE
B001,588025.4364067806,4509206.254838855
B002,589768.3560384156,4498010.128734247
B002,589693.0358805954,4498143.028989542
B010,587553.1097773213,4502623.317204079
B010,587731.6130411436,4502442.667626596
B010,587781.6891846799,4502126.7608258845
B010,587694.32960334,4501980.544739255
B010,587531.1362088905,4502255.631202708
B010,587367.942664063,4502530.717497724
B010,587324.029843916,4502714.612088232
B010,587492.7956434737,4502866.2272944385
B012,589292.6448150296,4503014.460856976
B012,589216.8186953035,4503191.348521237
B012,589369.6506823163,4503085.510648149
B016,590815.4646759895,4506353.578939456
B016,591006.7788364665,4506379.012654577
B017,591889.5733982273,4505545.052572064
B019,584829.8490468985,4503893.04941398
B021,586255.9166890872,4505573.356997979
B021,586146.3156618417,4505742.137447257
B021,586379.0642412857,4505704.497081676
B022,588253.9144290825,4506101.318669049
B023,590431.677318567,4505200.650718609
B025,589713.4842854748,4507704.436770498
B025,589817.7154183734,4507842.1427291995
B026,586830.0354197104,4504392.568720784
B032,586733.1310312639,4504875.378590723
B032,586511.6692813137,4504830.969113293
B032,586401.7726984904,4505026.4218174
B032,586464.9876213372,4505212.472108729
B032,586698.7996367083,4505151.837670028
B035,581767.2488039673,4495972.074202473
B035,581680.740363715,4496077.557801118
B038,590159.2636062142,4503737.403136967
B038,590217.3500489931,4503779.705379235
B042,586004.2927813514,4497449.904773728
B042,585899.894305098,4497389.950383231
B042,585878.3515180111,4497553.080652778
B043,587924.154638395,4509968.993182439
B044,587724.4552821249,4502778.016108901
B048,587507.3476256955,4502633.048936189
B048,587527.1509910335,4502853.518776031
B048,587691.8030695284,4502680.871898499
B049,592124.8055121773,4505183.980750782
B049,592203.0036037756,4505193.797225112
B051,588229.3531817326,4495397.08788068
B051,588145.062582592,4495282.2438686825
B055,588868.6022990926,4506728.3200293565
B055,588999.7295432119,4506628.7893446935
B056,593783.1650841081,4502538.344847219
B060,583087.3215178485,4497805.16444892
B060,583279.8363790187,4497802.151567681
B061,585591.0144345848,4505582.020337826
B063,584634.3278564925,4495856.434268627
B066,581789.9650097614,4499130.82066126
B066,581614.3644475506,4499278.457552849
B066,581900.3640687058,4499377.317682683
B066,582016.2853068251,4499217.016348991
B068,586948.5786701874,4500362.141743603
B068,587102.6997766711,4500601.051398643
B068,587398.4562098185,4500754.715414103
B068,587455.031229474,4500490.387785542
B068,587159.4442324968,4500332.511179349
