row,id,name,acres,courts,plygrnd,trails,type,PK_7_1,PK_7_2,PK_7_3,PK_7_4,PK_7_5,PK_7_6,PK_7_7,PK_7_8,PK_7_9,PK_7_10,PK_7_22,PK_7_23,PK_7_24,PK_7_25,PK_7_26,PK_7_27,PK_7_28,PK_7_29,PK_7_30,PK_8_8,PK_8_15,PK_8_24,PK_8_25,PK_9_1,PK_9_2,PK_9_3,PK_9_4,PK_9_5,PK_9_6,PK_9_7,PK_9_8,PK_9_9,PK_9_10,PK_9_11,PK_9_12,PK_9_13,PK_9_14,PK_9_15,PK_9_16,PK_9_17,PK_9_18,PK_9_19,PK_9_20,PK_9_21,PK_9_22,PK_9_23,PK_9_24,PK_9_25,PK_9_26,PK_9_27,PK_9_28,PK_9_29,PK_9_30,PK_10_1,PK_10_2,PK_10_3,PK_10_4,PK_10_5,PK_10_6,PK_10_7,PK_10_8,PK_10_9,PK_10_10,PK_10_12,PK_10_13,PK_10_14,PK_10_15,PK_10_16,PK_10_17,PK_10_18,PK_10_19,PK_10_20,PK_10_21,PK_10_22,PK_10_23,PK_10_24,PK_10_25,PK_10_26,PK_10_27,PK_10_28,PK_10_29,PK_10_30,PK_10_31
0,B001,American Playground,0.891845781,0,1,0,park,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,B002,Amersfort Park,3.733610333,0,0,0,park,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,B007,Bensonhurst Park,17.2318403,1,0,0,park,0,1,0,1,2,1,0,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,1
3,B008,Betsy Head Park,10.1130055,0,0,0,park,0,0,0,0,0,0,0,0,1,0,0,0,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0
4,B010,Brooklyn Botanic Garden,47.90662871,0,0,0,park,4,4,9,2,15,18,3,7,8,8,5,10,7,2,12,11,1,8,1,1,0,0,0,2,1,3,2,1,7,2,1,2,2,1,3,4,3,1,1,1,3,0,10,0,0,1,0,0,0,10,4,0,2,13,3,8,4,16,8,8,7,5,2,7,2,3,3,7,2,13,12,2,15,2,3,10,9,5,2,2,8,2,0
5,B012,Brower Park,7.099876604,0,0,0,park,2,3,1,0,3,2,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,0,3,0,0,0,0,5,2,1,1,1,0,2,1,0
6,B016,Maria Hernandez Park,6.939533181,0,0,0,park,0,2,3,5,8,3,3,1,5,6,2,0,0,0,1,0,1,2,0,0,1,0,0,1,0,1,1,0,6,0,0,0,0,2,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,5,2,5,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,3,2,2,1,4,1,0,2
7,B017,Bushwick Playground,2.898716919,0,1,0,park,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,B018,Canarsie Park,133.8778943,0,0,1,park,0,1,1,1,1,5,1,1,2,1,3,0,2,1,4,6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,3,0,0,0,2,1,0,1
9,B019,Carroll Park,2.04303174,0,0,0,park,0,1,2,1,1,2,2,0,0,1,3,2,1,4,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,2,1,1,0,0,1,0,1,0,0,2,2,2,8,2,1,1,1,5,1,5,1,1,1,1,1
10,B021,Commodore Barry Park,10.06468002,0,0,0,park,0,0,4,0,9,19,7,8,3,2,1,4,2,1,1,0,4,7,1,0,0,0,1,0,0,6,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,2,0,1,5,0,2,0,0,1,2,0,1,1,0,1,1,0,3,5,0,0,1,2,0,0,0,0,1,3,1,0,2,2,1,4,3,1,2,2
11,B022,Middleton Playground,1.094975644,0,1,0,park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,B023,Lafayette Playground,0.541852469,0,1,0,park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,B025,Cooper Park,6.454210254,0,0,0,park,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0
14,B026,Cuyler Gore Park,1.22915915,0,0,0,park,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,B028,Dyker Beach Park,210.8814592,0,0,0,park,0,4,2,0,2,0,1,0,0,6,65,4,1,17,49,0,3,1,0,0,0,0,0,0,1,0,0,1,2,15,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,19,0,0,0,0,0,1,2,1,1,0,7,16,0,3,1,7,0,0,20,2,2,3,6,0,0,1,0,0,1,1,0,2,1
16,B029,Eastern Parkway,17.5335671,0,0,0,park,4,9,3,4,7,7,9,11,10,5,12,14,9,3,10,5,7,9,1,4,0,0,0,15,9,2,1,1,1,1,3,0,2,4,1,0,0,2,2,1,3,2,2,0,2,3,4,4,0,0,0,1,4,49,18,24,12,13,16,23,78,30,13,16,15,8,10,9,7,12,8,7,5,6,9,2,5,8,8,12,7,13,3
17,B032,Fort Greene Park,30.20669933,0,0,0,park,5,3,3,6,17,14,6,5,6,2,4,6,13,2,12,8,7,4,0,2,0,0,0,3,0,3,2,2,1,2,0,2,1,2,2,3,2,0,2,3,1,1,16,0,1,2,1,0,0,1,0,0,1,4,1,6,11,7,7,3,3,2,6,11,2,3,4,5,11,14,10,4,6,1,7,11,45,24,6,8,8,11,9
18,B035,John Paul Jones Park,5.783855128,0,0,0,park,1,1,0,2,0,2,2,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
19,B038,Fulton Park,2.147953855,0,0,0,park,0,0,1,0,0,0,0,1,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1
20,B040,Grand Army Plaza,8.803821801,0,0,0,park,0,10,3,6,3,3,1,4,24,8,3,7,2,1,7,2,0,2,0,0,0,0,0,3,2,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,2,1,0,0,1,1,0,3,1,4,2,2,15,1,1,3,1,4,2,2,1,3,4,1,3,1,1,1,4,1,1,1,2,1,5
21,B042,Gravesend Park,5.314196752,0,0,0,park,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,B043,Greenpoint Playground,0.590988413,0,1,0,park,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,B044,Dr. Ronald McNair Park,1.502063456,0,0,0,park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,B047,Highland Park,44.80443965,0,0,0,park,2,0,1,0,0,0,0,1,1,1,5,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,1,1,0,0,0,0,3,1,1,2,0,2,1,1,0,0,0,1,1,1,2,1,0,1,0
